role,category,desc,skills
Data Scientist,Data & AI,Menganalisis data besar untuk menemukan pola dan membangun model prediktif.,"Python, SQL, Machine Learning, Deep Learning, Statistics, Pandas, Scikit-learn, TensorFlow"
Data Analyst,Data & AI,Menerjemahkan data menjadi laporan bisnis untuk pengambilan keputusan.,"SQL, Excel, Tableau, Power BI, Python, Data Visualization, Analytical Skills"
Data Engineer,Data & AI,Membangun arsitektur data dan pipeline ETL yang skalabel.,"Python, SQL, Apache Spark, Hadoop, AWS, GCP, ETL, Data Warehousing"
Machine Learning Engineer,Data & AI,Mendeploy dan mengoptimalkan model AI ke dalam sistem produksi.,"Python, C++, PyTorch, MLOps, Docker, Kubernetes, CI/CD"
Business Intelligence Analyst,Data & AI,Menganalisis metrik bisnis menggunakan dashboard interaktif.,"SQL, Power BI, Tableau, Business Strategy, Data Modeling"
AI Prompt Engineer,Data & AI,Merancang dan mengoptimalkan prompt untuk Large Language Models.,"NLP, Prompt Engineering, OpenAI API, Python, Creative Writing"
Computer Vision Engineer,Data & AI,Membangun sistem AI untuk pengenalan gambar dan video.,"Python, OpenCV, PyTorch, CNN, Image Processing"
NLP Engineer,Data & AI,Mengembangkan sistem AI pemrosesan bahasa alami.,"Python, NLP, Hugging Face, Transformers, NLTK, Spacy"
Deep Learning Engineer,Data & AI,Membangun dan melatih model deep learning tingkat lanjut untuk pengenalan pola.,"Python, PyTorch, TensorFlow, Keras, CNN, RNN, Transformers, GPU"
Data Architect,Data & AI,Merancang dan mengelola arsitektur penyimpanan data terdistribusi dan sistem database.,"Data Modeling, SQL, NoSQL, Hadoop, Spark, Snowflake, AWS, Azure"
Data Quality Specialist,Data & AI,"Memastikan kebersihan, konsistensi, dan integritas data dalam data warehouse.","SQL, Python, Data Quality, ETL, Excel, Reporting"
Frontend Developer,Software Engineering,Membangun antarmuka web (Client-side) yang responsif dan interaktif.,"HTML, CSS, JavaScript, React.js, Vue.js, Tailwind, Responsive Design"
Backend Developer,Software Engineering,"Membangun logika server, database, dan RESTful API.","Node.js, Go, Python, Java, PostgreSQL, MongoDB, REST API, Microservices"
Fullstack Developer,Software Engineering,Menguasai pengembangan sisi klien maupun sisi server.,"JavaScript, React.js, Node.js, Express, MongoDB, SQL, Git"
Android Developer,Software Engineering,Mengembangkan aplikasi mobile khusus untuk sistem operasi Android.,"Kotlin, Java, Android Studio, XML, REST API, SQLite"
iOS Developer,Software Engineering,Mengembangkan aplikasi mobile ekosistem Apple.,"Swift, Objective-C, Xcode, iOS SDK, Core Data"
Flutter Developer,Software Engineering,Membangun aplikasi mobile cross-platform menggunakan Flutter.,"Flutter, Dart, Firebase, REST API, State Management"
QA Engineer (Tester),Software Engineering,Memastikan kualitas perangkat lunak dengan automated & manual testing.,"Selenium, Cypress, Jest, Manual Testing, Automation Testing, QA"
QA Automation Engineer,Software Engineering,Menulis skrip uji coba otomatis tingkat lanjut untuk aplikasi web dan mobile.,"Selenium, Appium, Python, JavaScript, Jenkins, CI/CD, Test Automation"
Mobile Tech Lead,Software Engineering,Memimpin pengembangan teknis tim pengembang aplikasi mobile (iOS & Android).,"Swift, Kotlin, Flutter, Mobile Architecture, Code Review, Team Leadership"
Game Developer,Software Engineering,"Membangun logika permainan, karakter, dan lingkungan interaktif.","Unity, C#, Unreal Engine, C++, Game Design, 3D Math"
Blockchain Developer,Software Engineering,Membangun sistem terdesentralisasi dan smart contracts.,"Solidity, Web3.js, Ethereum, Cryptography, Blockchain Architecture"
DevOps Engineer,Infrastructure,"Menjembatani pengembangan dan operasi IT, fokus pada CI/CD.","Linux, Docker, Kubernetes, AWS, Jenkins, Terraform, CI/CD"
Cloud Architect,Infrastructure,Merancang arsitektur komputasi awan untuk perusahaan.,"AWS, Azure, GCP, Cloud Security, System Architecture, Networking"
Database Administrator,Infrastructure,Memelihara dan mengamankan sistem database relasional/non-relasional.,"SQL, PostgreSQL, MySQL, Oracle, Database Tuning, Backup & Recovery"
Network Engineer,Infrastructure,Mengonfigurasi dan memelihara infrastruktur jaringan kabel dan nirkabel perusahaan.,"Cisco, CCNA, Routing & Switching, TCP/IP, VPN, Firewalls, DNS"
Site Reliability Engineer (SRE),Infrastructure,"Menjaga keandalan, ketersediaan, dan skalabilitas layanan sistem produksi berskala besar.","Python, Linux, Prometheus, Grafana, Docker, Kubernetes, CI/CD, Terraform"
Solutions Architect,Infrastructure,Merancang arsitektur perangkat lunak komprehensif yang memecahkan masalah bisnis spesifik.,"System Design, Microservices, Cloud Platforms, Enterprise Architecture, API Design"
IT Support Specialist,IT Operations,Memberikan bantuan teknis untuk hardware dan software perusahaan.,"Troubleshooting, Windows Server, Networking, Helpdesk, Hardware"
System Administrator,IT Operations,Mengelola dan memelihara server dan jaringan komputer perusahaan.,"Linux, Windows Server, Active Directory, Bash Scripting, Networking"
Systems Engineer,IT Operations,"Mengintegrasikan berbagai sistem IT, hardware, dan software agar bekerja secara selaras.","Linux, Windows Server, Virtualization, VMware, Bash Scripting, Active Directory"
System Integration Engineer,IT Operations,Menyambungkan sistem perangkat lunak warisan dengan API modern.,"REST API, Python, SOAP, System Integration, Enterprise Architecture"
Cyber Security Analyst,Security,Memantau jaringan IT untuk mendeteksi ancaman dan serangan siber.,"Network Security, SIEM, Firewalls, Penetration Testing, Wireshark"
Penetration Tester (Ethical Hacker),Security,Mencari celah keamanan sistem dengan melakukan simulasi serangan.,"Ethical Hacking, Metasploit, Kali Linux, Web Security, OWASP"
Security Engineer,Security,"Mengimplementasikan solusi keamanan sistem, jaringan, dan perangkat lunak di internal perusahaan.","Cryptography, Identity & Access Management (IAM), Firewalls, Linux, AWS Security"
IT Auditor,Security,Mengaudit kepatuhan sistem keamanan IT perusahaan terhadap regulasi standar industri.,"IT Audit, COBIT, ISO 27001, Risk Assessment, Compliance, Security Control"
UI/UX Designer,Design,Merancang pengalaman dan antarmuka pengguna aplikasi.,"Figma, Adobe XD, Wireframing, Prototyping, User Research, UI Design"
UX Researcher,Design,Melakukan riset mendalam terhadap perilaku dan kebutuhan pengguna.,"User Research, Usability Testing, Interviewing, Data Analysis, Psychology"
Product Designer,Design,Menggabungkan desain UI/UX dengan pemahaman bisnis untuk menciptakan produk digital utuh.,"Figma, Adobe XD, Product Strategy, Interaction Design, Prototyping, Design Systems"
Graphic Designer,Design,Membuat aset visual untuk branding dan pemasaran digital.,"Adobe Illustrator, Photoshop, CorelDraw, Visual Design, Typography"
Product Manager,Product,Mengelola siklus hidup produk dari ide hingga peluncuran.,"Product Strategy, Agile, Scrum, Leadership, Market Research, JIRA"
Project Manager,Product,Merencanakan dan memastikan proyek selesai tepat waktu.,"Project Management, Agile, Scrum, Trello, Asana, Communication"
Scrum Master,Product,Memfasilitasi tim agile agar bekerja efektif sesuai framework Scrum.,"Scrum, Agile Methodology, Leadership, Sprint Planning, Coaching"
Product Owner,Product,Mendefinisikan visi produk dan mengelola backlog tim pengembang secara agile.,"Agile, Scrum, Product Backlog, User Stories, Product Strategy, JIRA"
Digital Marketing Specialist,Marketing,Merencanakan dan mengeksekusi kampanye pemasaran digital.,"SEO, SEM, Social Media Marketing, Google Ads, Content Strategy"
SEO Specialist,Marketing,Mengoptimalkan website agar mendapat peringkat tinggi di mesin pencari.,"SEO, Google Analytics, Ahrefs, Keyword Research, Content Writing"
Social Media Manager,Marketing,Mengelola akun media sosial dan membangun interaksi dengan audiens.,"Social Media Strategy, Copywriting, Content Creation, Hootsuite, Analytics"
Content Writer,Marketing,"Menulis konten menarik untuk blog, artikel, dan media sosial.","Copywriting, SEO Writing, Storytelling, Research, Editing"
Copywriter,Marketing,Menulis teks persuasif untuk tujuan periklanan dan penjualan.,"Copywriting, Persuasion, Advertising, Creative Writing, Marketing"
Brand Manager,Marketing,"Mengelola identitas, persepsi, dan kampanye branding dari suatu produk atau merek dagang.","Brand Strategy, Market Analysis, Marketing Campaigns, Public Relations, Leadership"
Marketing Analyst,Marketing,Mengukur dan mengevaluasi efektivitas ROI dari berbagai saluran kampanye pemasaran.,"Google Analytics, SQL, Excel, Tableau, Marketing Analytics, A/B Testing"
Public Relations Specialist,Marketing,Membangun dan memelihara hubungan positif antara perusahaan dengan media massa dan publik.,"Public Relations, Copywriting, Media Relations, Communication, Crisis Management"
Business Analyst,Business,Menganalisis proses bisnis dan merekomendasikan solusi teknologi.,"Business Analysis, BPMN, Requirement Gathering, SQL, Communication"
Sales Executive,Business,Mencari prospek klien baru dan menutup kesepakatan penjualan.,"B2B Sales, Negotiation, CRM, Communication, Lead Generation"
Key Account Manager,Business,Membangun hubungan jangka panjang dengan klien VIP perusahaan.,"Account Management, CRM, Negotiation, Relationship Building"
Business Development Manager,Business,Mencari peluang kemitraan bisnis baru dan memperluas jangkauan pasar perusahaan.,"Business Development, Negotiation, Sales Strategy, Partnerships, Communication"
ERP Specialist,Business,Mengonfigurasi dan memelihara sistem ERP perusahaan seperti SAP atau Oracle.,"SAP, ERP Systems, Business Process, SQL, Database Management"
Financial Analyst,Finance,Menganalisis data keuangan untuk memprediksi kondisi ekonomi perusahaan.,"Financial Modeling, Excel, Forecasting, Accounting, Valuation"
Accountant,Finance,Mencatat dan mengelola laporan keuangan perusahaan.,"Accounting, Tax, Bookkeeping, SAP, Excel, Audit"
HR Generalist,Human Resources,"Mengelola rekrutmen, payroll, dan hubungan karyawan.","Recruitment, Payroll, HRIS, Employee Relations, Labor Law"
Technical Recruiter,Human Resources,Mencari dan merekrut talenta spesifik di bidang IT.,"Sourcing, LinkedIn Recruiter, Interviewing, Tech Savy, Networking"
HR Manager,Human Resources,"Memimpin departemen SDM, merumuskan kebijakan ketenagakerjaan, dan mengelola retensi karyawan.","Human Resources, Leadership, Employee Relations, Labor Law, Talent Management"
Talent Acquisition Specialist,Human Resources,"Fokus pada pencarian pasif, wawancara, dan akuisisi talenta berbakat secara proaktif.","Recruitment, Sourcing, LinkedIn Recruiter, Candidate Experience, Interviewing"
Mechanical Engineer,Engineering,Merancang sistem mekanis dan mesin.,"AutoCAD, SolidWorks, Mechanical Design, Thermodynamics, Manufacturing"
Electrical Engineer,Engineering,Mendesain sistem kelistrikan dan sirkuit elektronik.,"Electrical Design, MATLAB, Circuit Design, Power Systems, PCB Design"
Civil Engineer,Engineering,Merancang dan mengawasi proyek infrastruktur dan konstruksi.,"AutoCAD, SAP2000, Structural Analysis, Construction Management"
Embedded Systems Engineer,Engineering,Mengembangkan perangkat lunak level rendah (firmware) untuk perangkat keras elektronik.,"C, C++, Microcontrollers, RTOS, Firmware, IoT, Hardware Debugging"
Video Editor,Creative,Mengedit dan menggabungkan potongan video menjadi karya utuh.,"Premiere Pro, After Effects, Final Cut Pro, Color Grading, Motion Graphics"
3D Artist,Creative,"Membuat model dan aset 3D untuk game, film, atau media visual interaktif.","Blender, Maya, ZBrush, 3D Modeling, Texturing, Lighting"
Animator,Creative,Menghidupkan karakter dan objek visual menggunakan teknik animasi 2D atau 3D.,"Adobe After Effects, Blender, Maya, 2D Animation, 3D Animation, Storyboarding"
Customer Success Specialist,Operations,Membantu pelanggan mencapai hasil maksimal dengan produk perusahaan.,"Customer Service, Communication, Problem Solving, CRM, Empathy"
Supply Chain Analyst,Operations,Menganalisis dan mengoptimalkan logistik dan rantai pasokan.,"Supply Chain Management, Logistics, Excel, Data Analysis, Inventory Management"
Operations Manager,Operations,Mengawasi jalannya operasional harian perusahaan agar berjalan efisien dan produktif.,"Operations Management, Budgeting, Leadership, Process Improvement, Business Strategy"
